Name,Team,gamesPlayed,plateAppearances,atBats,homeRuns,rbi,avg,obp,slg,ops,avg_hit_speed,brl_percent,age,groundOuts,airOuts,runs,doubles,triples,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,totalBases,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,ev95percent
Jordan Walker,St. Louis Cardinals,16,66,60,8,15,.333,.394,.767,1.161,96.2,26.2,24,11,11,15,2,0,18,6,0,20,0,0,1,1.000,.000,0,244,46,27,0,0,.353,1.00,0,7.50,64.3
Yordan Alvarez,Houston Astros,17,76,56,6,14,.321,.487,.714,1.201,92.7,20.4,29,8,23,12,4,0,8,16,4,18,3,0,1,1.000,.000,1,291,40,23,0,1,.279,0.35,0,9.33,44.9
Gunnar Henderson,Baltimore Orioles,16,76,67,6,13,.239,.329,.582,.911,91.1,13.0,25,14,16,12,3,1,21,8,0,16,1,1,3,.750,.250,1,311,39,32,0,0,.250,0.88,0,11.17,50.0
Aaron Judge,New York Yankees,16,70,60,6,12,.233,.333,.550,.883,90.7,30.0,34,15,11,14,1,0,20,8,0,14,1,1,3,.750,.250,2,307,33,24,0,0,.235,1.36,1,10.00,52.5
Brandon Lowe,Pittsburgh Pirates,14,65,54,6,14,.278,.400,.648,1.048,84.2,12.2,31,11,15,9,2,0,13,10,0,15,1,0,0,.---,.---,0,268,35,22,0,0,.257,0.73,0,9.00,41.5
Kyle Schwarber,Philadelphia Phillies,16,71,55,6,12,.236,.408,.618,1.026,94.1,29.0,33,4,14,12,3,0,24,13,0,13,3,0,0,.---,.---,0,291,34,21,0,0,.280,0.29,0,9.17,54.8
CJ Abrams,Washington Nationals,15,64,55,5,17,.327,.406,.618,1.024,91.5,13.0,25,12,16,11,1,0,10,6,0,18,2,1,4,.800,.200,2,233,34,23,0,1,.317,0.75,0,11.00,50.0
Drake Baldwin,Atlanta Braves,17,78,70,5,17,.300,.372,.543,.915,89.4,15.5,25,21,16,16,2,0,12,6,0,21,2,0,0,.---,.---,3,320,38,28,0,0,.302,1.31,0,14.00,41.4
Oneil Cruz,Pittsburgh Pirates,16,70,62,5,16,.355,.429,.645,1.074,96.6,21.4,27,12,8,14,3,0,20,7,1,22,1,1,7,.875,.125,0,290,40,16,0,0,.459,1.50,0,12.40,59.5
Elly De La Cruz,Cincinnati Reds,16,72,64,5,10,.281,.361,.563,.924,94.4,13.6,24,15,11,13,3,0,20,8,0,18,0,1,5,.833,.167,0,292,36,31,0,0,.333,1.36,0,12.80,50.0
Chase DeLauter,Cleveland Guardians,15,58,50,5,12,.300,.379,.680,1.059,93.0,19.5,24,14,12,9,4,0,10,7,0,15,0,0,0,.---,.---,3,231,34,21,0,1,.278,1.17,0,10.00,51.2
Shea Langeliers,Athletics,15,65,62,5,10,.306,.338,.581,.919,93.2,12.2,28,4,18,9,2,0,21,3,0,19,0,0,0,.---,.---,2,256,36,30,0,0,.389,0.22,0,12.40,43.9
Mickey Moniak,Colorado Rockies,10,36,34,5,9,.265,.278,.706,.984,87.8,15.4,28,6,11,6,0,0,9,1,0,9,0,0,0,.---,.---,1,136,24,10,0,1,.190,0.55,0,6.80,34.6
Zach Neto,Los Angeles Angels,17,81,68,5,9,.250,.370,.515,.885,89.8,12.8,25,12,18,16,3,0,21,13,1,17,0,1,1,.500,.500,0,330,35,31,0,0,.286,0.67,0,13.60,38.3
Shohei Ohtani,Los Angeles Dodgers,16,78,60,5,10,.267,.410,.533,.943,94.0,25.6,31,11,16,10,1,0,19,13,3,16,3,0,0,.---,.---,2,299,32,32,0,2,.289,0.69,0,12.00,53.5
Andy Pages,Los Angeles Dodgers,16,64,60,5,20,.417,.453,.733,1.186,91.5,9.1,25,7,12,9,4,0,16,4,0,25,0,1,2,.667,.333,0,286,44,22,0,0,.513,0.58,0,12.00,54.5
James Wood,Washington Nationals,16,78,65,5,14,.277,.397,.600,.997,94.7,23.8,23,18,6,14,6,0,23,12,1,18,1,0,2,1.000,.000,1,327,39,23,0,0,.351,3.00,0,13.00,59.5
Francisco Alvarez,New York Mets,15,51,43,4,4,.302,.388,.605,.993,90.2,23.5,24,11,10,7,1,0,9,5,0,13,1,0,0,.---,.---,3,199,26,16,0,0,.300,1.10,2,10.75,50.0
Jake Bauers,Milwaukee Brewers,14,50,46,4,10,.239,.300,.522,.822,94.2,13.9,30,14,11,9,1,0,10,4,0,11,0,1,2,.667,.333,1,187,24,30,0,0,.219,1.27,0,11.50,55.6
Jake Burger,Texas Rangers,16,68,65,4,11,.246,.279,.492,.771,91.1,13.6,30,20,8,7,4,0,21,2,0,16,1,0,0,.---,.---,3,240,32,27,0,0,.300,2.50,0,16.25,54.5
